,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,5.7399006,7.1972528,-2.6747396,6.791858,1.4945304,-0.4079315,-0.2659819,1.1960117,-0.8550983,-0.46848944,-0.5660928,2.5892663,-0.058811598,-1.4977537,1.5465871,-1.1624973,-0.13331105,-2.219957,-0.9120223,-0.88601214
11,-2.8994477,5.5145006,-2.1885672,-1.6226646,-0.47251153,0.8026175,-2.2035534,0.9765728,1.3087409,0.0036427348,0.56323963,0.21084347,-0.8787698,-0.74072266,-0.37416217,-0.8025546,0.23395362,-0.639053,-0.6632409,0.3312972
12,-0.3678557,4.424348,0.0023475005,-2.1677127,-0.39307514,1.7288593,-1.6351786,-1.1105443,0.049160596,-0.503347,-0.26983243,-0.06910453,0.6654148,-0.31136227,0.3504026,0.12970984,1.0466552,-0.24729462,0.2810723,0.025013605
13,9.480574,-4.8318024,-1.423978,-2.9054656,1.512117,-0.836388,-0.3541614,0.13503022,0.1562047,0.11496518,-0.38890335,-0.64224494,-0.56574404,0.10118883,0.7393842,1.4973798,-0.28230533,0.54550135,0.30266845,0.9144176
14,-8.574588,-3.0183277,1.2680694,-0.42580977,0.14468281,-0.9591387,0.9521866,-0.21051544,-1.1717938,-0.7504868,1.4082428,-0.107765965,-1.0576069,-0.23420858,0.10953146,0.85347897,0.07980733,-0.26901752,0.09323707,0.7053607
15,-10.506744,-3.8638437,-0.99748,-0.4234904,-0.6597081,0.58870083,1.76084,1.1215469,-0.5009508,0.041101795,-0.06680932,-1.5425668,0.44448254,0.9318401,1.2453569,0.63780886,0.54504335,-0.19543748,-0.45820433,1.2057467
16,-1.9735736,-8.564557,-2.2368615,-3.0944822,1.1882387,-0.40369776,2.8068247,0.16273294,-0.006806251,0.5101061,-0.5729998,-0.08113257,0.021620926,-0.03182536,0.04591968,-0.8411266,-0.7007939,-0.42342883,0.562996,-0.24115235
17,-7.1432056,-3.4340851,2.4258044,-0.6014338,-0.6092224,-0.077180356,1.845885,-1.6648003,-0.9776099,-0.6530554,0.45009872,-0.10300711,0.15375298,1.0986784,0.25046006,-0.62366915,0.80752647,-0.39756528,-0.31931582,-0.06583528
18,18.164536,-4.7249613,-0.8428551,0.026595943,-0.10380746,-0.49340063,-3.1391017,-0.15050277,0.6722817,-1.7128993,0.1766453,0.8848158,-0.5441866,-0.7545619,0.8838152,-0.79112774,1.3088832,1.7231729,0.64476883,0.62372756
19,0.44069088,6.051248,0.49258533,-2.1744783,-0.69338256,0.6050022,-0.12815155,-1.6985601,-0.5823608,-0.72578937,-0.29660764,0.45760491,0.4761917,0.956155,0.66218585,0.8449086,-1.7720814,1.3560877,-0.36351255,-0.9189543
20,9.259399,9.727906,0.6298043,5.2038045,1.6356369,-1.0886059,-1.0155321,-1.8363597,-1.6044157,0.51086324,-0.86328375,1.0537086,-0.027857214,-0.012874903,-0.86741376,-0.37878308,0.33880183,0.8193077,1.1347222,-1.9896027
21,-7.4409733,-2.3800788,-4.1217623,4.37639,-0.088114254,-0.68504184,1.1496712,0.6118989,-0.586882,1.001371,-0.23380214,0.030159803,0.19562514,1.3182015,-0.030718347,-0.98686814,-0.9530772,0.9034157,0.16868424,-0.43065184
22,2.9029706,5.7082205,-3.5255344,6.1626387,0.5219859,-1.4731063,-0.21167333,-1.9396044,1.2185171,-0.5807643,-0.7293138,1.6325933,-0.23623511,-0.1828828,0.7109592,0.5295258,-0.010458263,0.18319435,-0.09939654,-0.3466632
23,-8.373455,-2.2464445,-2.414352,-0.277109,-0.27184123,1.5328821,0.20196003,1.7458619,-0.013993122,-0.5150897,-0.15305719,-0.100704126,1.1088841,0.25977018,0.055434458,0.24723217,0.2569842,-0.083922334,-0.24689062,0.43185648
24,5.4706426,-5.6090584,-2.8228776,-4.467094,2.62486,-1.2097659,0.80834955,-1.0743207,1.0474436,0.21101859,-0.7326485,1.8557853,0.33132982,-0.86118805,-0.6436949,0.56535965,0.2738072,-1.4274553,-0.45494565,1.6233374
